configuration,family,run_order,mcv_count,fd_count,total_count,subset_seed,phase,repetition,seconds,mcv_ids,fd_ids
mcv_12_s0,mcv_only,9,12,0,12,0,measured,1,0.18617275200085714,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,2,0.1729234929953236,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,3,0.17206952599372016,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,4,0.17302398500032723,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,5,0.16464984099729918,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,6,0.1721601409954019,0;8;9;10;11;13;17;19;20;21;25;31,
fd_12_s0,fd_only,10,0,12,12,0,warmup,0,0.1844490509975003,,0;6;9;10;15;16;18;19;23;29;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,0,0.1846750510012498,,0;6;9;10;15;16;18;19;23;29;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,1,0.18597939900064375,,0;6;9;10;15;16;18;19;23;29;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,2,0.18227917599870125,,0;6;9;10;15;16;18;19;23;29;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,3,0.19310373699408956,,0;6;9;10;15;16;18;19;23;29;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,4,0.1892734470020514,,0;6;9;10;15;16;18;19;23;29;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,5,0.1912271819965099,,0;6;9;10;15;16;18;19;23;29;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,6,0.19062025700259255,,0;6;9;10;15;16;18;19;23;29;30;33
fd_32_s0,fd_only,11,0,32,32,0,warmup,0,0.2875063239989686,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
fd_32_s0,fd_only,11,0,32,32,0,measured,0,0.2935996700034593,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
fd_32_s0,fd_only,11,0,32,32,0,measured,1,0.28974700599792413,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
fd_32_s0,fd_only,11,0,32,32,0,measured,2,0.29792574800376315,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
fd_32_s0,fd_only,11,0,32,32,0,measured,3,0.3067716669975198,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
