neighborhood_size,candidate_count,candidate_ratio
108,22,0.009764758100310697
109,16,0.007101642254771416
110,13,0.005770084332001775
111,20,0.00887705281846427
112,10,0.004438526409232135
113,14,0.006213936972924989
114,11,0.004882379050155349
115,17,0.007545494895694629
116,3,0.0013315579227696406
117,15,0.006657789613848202
118,19,0.008433200177541057
119,11,0.004882379050155349
120,11,0.004882379050155349
121,12,0.005326231691078562
122,13,0.005770084332001775
123,10,0.004438526409232135
124,13,0.005770084332001775
125,13,0.005770084332001775
126,13,0.005770084332001775
127,14,0.006213936972924989
128,13,0.005770084332001775
129,19,0.008433200177541057
130,22,0.009764758100310697
131,13,0.005770084332001775
132,15,0.006657789613848202
133,26,0.01154016866400355
134,13,0.005770084332001775
135,11,0.004882379050155349
136,13,0.005770084332001775
137,12,0.005326231691078562
138,12,0.005326231691078562
139,12,0.005326231691078562
140,17,0.007545494895694629
141,13,0.005770084332001775
142,17,0.007545494895694629
143,17,0.007545494895694629
144,14,0.006213936972924989
145,13,0.005770084332001775
146,11,0.004882379050155349
147,15,0.006657789613848202
148,14,0.006213936972924989
149,9,0.0039946737683089215
150,14,0.006213936972924989
151,14,0.006213936972924989
152,13,0.005770084332001775
153,10,0.004438526409232135
154,13,0.005770084332001775
155,11,0.004882379050155349
156,11,0.004882379050155349
157,11,0.004882379050155349
158,15,0.006657789613848202
159,6,0.002663115845539281
160,16,0.007101642254771416
161,16,0.007101642254771416
162,14,0.006213936972924989
163,11,0.004882379050155349
164,12,0.005326231691078562
165,9,0.0039946737683089215
166,16,0.007101642254771416
167,7,0.0031069684864624943
168,13,0.005770084332001775
169,8,0.003550821127385708
170,10,0.004438526409232135
171,9,0.0039946737683089215
172,9,0.0039946737683089215
173,4,0.001775410563692854
174,12,0.005326231691078562
175,6,0.002663115845539281
176,11,0.004882379050155349
177,4,0.001775410563692854
178,4,0.001775410563692854
179,4,0.001775410563692854
180,7,0.0031069684864624943
181,13,0.005770084332001775
182,6,0.002663115845539281
183,8,0.003550821127385708
184,7,0.0031069684864624943
185,9,0.0039946737683089215
186,11,0.004882379050155349
187,8,0.003550821127385708
188,2,0.000887705281846427
189,7,0.0031069684864624943
190,7,0.0031069684864624943
191,5,0.0022192632046160675
192,6,0.002663115845539281
193,7,0.0031069684864624943
194,3,0.0013315579227696406
195,4,0.001775410563692854
196,12,0.005326231691078562
197,2,0.000887705281846427
198,3,0.0013315579227696406
199,7,0.0031069684864624943
201,5,0.0022192632046160675
202,6,0.002663115845539281
203,9,0.0039946737683089215
204,5,0.0022192632046160675
205,7,0.0031069684864624943
206,8,0.003550821127385708
207,4,0.001775410563692854
208,12,0.005326231691078562
209,3,0.0013315579227696406
210,5,0.0022192632046160675
211,9,0.0039946737683089215
212,6,0.002663115845539281
213,7,0.0031069684864624943
214,7,0.0031069684864624943
215,4,0.001775410563692854
216,5,0.0022192632046160675
217,2,0.000887705281846427
218,2,0.000887705281846427
219,4,0.001775410563692854
220,4,0.001775410563692854
221,6,0.002663115845539281
222,8,0.003550821127385708
223,2,0.000887705281846427
224,5,0.0022192632046160675
225,5,0.0022192632046160675
226,3,0.0013315579227696406
227,4,0.001775410563692854
228,3,0.0013315579227696406
229,2,0.000887705281846427
230,2,0.000887705281846427
231,3,0.0013315579227696406
232,3,0.0013315579227696406
233,7,0.0031069684864624943
234,2,0.000887705281846427
235,4,0.001775410563692854
236,3,0.0013315579227696406
237,5,0.0022192632046160675
238,5,0.0022192632046160675
239,3,0.0013315579227696406
240,5,0.0022192632046160675
242,5,0.0022192632046160675
243,3,0.0013315579227696406
244,2,0.000887705281846427
245,2,0.000887705281846427
246,7,0.0031069684864624943
247,3,0.0013315579227696406
248,2,0.000887705281846427
249,2,0.000887705281846427
251,1,0.0004438526409232135
252,1,0.0004438526409232135
253,2,0.000887705281846427
254,1,0.0004438526409232135
255,3,0.0013315579227696406
256,1,0.0004438526409232135
258,2,0.000887705281846427
259,2,0.000887705281846427
260,2,0.000887705281846427
