query,truth,zero_truth,frozen_estimate,fresh_replay_estimate,fresh_native_estimate,frozen_qerror,fresh_replay_qerror,semantic_relative_error,mcv_trace_changed,fd_trace_changed,control_class
dmv.1053,197030,False,,402720.17852000805,402720.17852000776,,2.0439536036137036,7.226812066802802e-16,False,False,unchanged
dmv.1054,1644222,False,,1656247.3105448615,1656247.3105448617,,1.0073136781680707,1.4057722066716865e-16,False,False,unchanged
dmv.1055,128801,False,,127655.88138445148,127655.88138445151,,1.0089703553265976,2.279866007041533e-16,False,False,unchanged
dmv.1056,784905,False,,810119.0097237021,810119.009723702,,1.0321236451847065,1.4370150611160113e-16,False,False,unchanged
dmv.1057,977,False,,2109.298936220133,2109.2989362201342,,2.158954898894711,6.46775110551241e-16,False,False,unchanged
dmv.1058,10026683,False,,10163943.804016026,10163943.804016026,,1.0136895525684841,0.0,False,False,unchanged
dmv.1059,5772655,False,,6042188.923369519,6042188.92336952,,1.0466915004221662,1.5413661943164003e-16,False,False,unchanged
dmv.1060,10136131,False,,10245573.791341718,10245573.791341716,,1.0107972944846233,1.8179998379446867e-16,False,False,unchanged
dmv.1061,2429215,False,,2514102.5833244342,2514102.583324435,,1.0349444505012666,3.7043936901889534e-16,False,False,unchanged
dmv.1062,248231,False,,271334.28175562795,271334.28175562795,,1.0930717023886136,0.0,False,False,unchanged
dmv.1063,272091,False,,256886.78358362842,256886.78358362836,,1.059186448614714,2.2658877230450496e-16,False,False,unchanged
dmv.1064,10985,False,,1916.7330038259165,1916.7330038259172,,5.731105990283084,3.5587691398235463e-16,False,False,unchanged
dmv.1065,487381,False,,506912.83169432485,506912.83169432514,,1.0400750782125787,5.741387599018934e-16,False,False,unchanged
dmv.1066,5814097,False,,6065249.014459118,6065249.014459115,,1.0431970802102404,4.6065177492067e-16,False,False,unchanged
dmv.1067,5956246,False,,5959682.224643635,5959682.224643637,,1.0005769111355767,4.688115269457177e-16,False,False,unchanged
dmv.1068,65450,False,,67488.51169907411,67488.51169907412,,1.0311460916588864,2.1562062730398734e-16,False,False,unchanged
dmv.1069,10118479,False,,10052042.587708222,10052042.587708225,,1.006609245007877,3.70600329829208e-16,False,False,unchanged
dmv.1070,33979,False,,48721.133464403654,48721.13346440484,,1.4338601331529373,2.4342231117803612e-14,False,False,unchanged
dmv.1071,40852,False,,77904.16264134744,77904.16264134736,,1.9069852795786606,1.1207551485042321e-15,False,False,unchanged
dmv.1072,11541839,False,,11634950.02643168,11634950.02643168,,1.0080672608959178,0.0,False,False,unchanged
dmv.1073,2673810,False,,2682777.6887544445,2682777.688754445,,1.003353899025901,1.735743104095724e-16,False,False,unchanged
dmv.1074,218994,False,,264004.4142434938,264004.4142434939,,1.2055326367091967,4.409597550121408e-16,False,False,unchanged
dmv.1075,6104640,False,,6151656.7901670085,6151656.7901670085,,1.0077018120916235,0.0,False,False,unchanged
