budget_percent,budget_bytes,seed,selected,mcv,fd,mcv_bytes,fd_bytes,storage,utilization,train_mean,test_mean,train_empty_mean,test_empty_mean,train_improvement,test_improvement,test_relative_improvement,gap,negative_magnitude,harmful_regressions,single_removal_repair,repair_fraction,core_survival,core_survival_fraction,runtime_seconds,rounds
40,42024,3,140,90,50,40440,1560,42000,0.9994288977727013,2.1675538090864257,1.9841740356810222,30.753931952449697,3.2658492396757564,28.586378143363273,1.2816752039947341,0.39244775552529265,-0.18337977340540346,1.6420647477000905,15,1.506148721696486,0.9172285829812915,18,0.6923076923076923,13.440264175002085,19
40,42024,4,144,84,60,40206,1816,42022,0.9999524081477251,2.264544054580107,3.0981200229095203,30.47823169973589,4.362784287707286,28.213687645155783,1.2646642647977662,0.2898754972509465,0.8335759683294133,6.134678692925669,22,5.598064759859772,0.9125277850843755,17,0.6538461538461539,17.605609285001265,30
40,42024,5,137,86,51,40482,1517,41999,0.9994051018465638,1.871932250790085,46.30025974927086,19.931127979691837,46.32679270575489,18.059195728901752,0.026532956484032262,0.0005727345869280572,44.42832749848077,12.648522687429978,21,12.16391075884139,0.9616862822193304,17,0.6538461538461539,11.025497612998151,13
40,42024,6,142,85,57,40250,1749,41999,0.9994051018465638,2.246952425719069,27.076674815410346,24.286751829770182,28.99697015331553,22.039799404051113,1.9202953379051837,0.06622399953346905,24.829722389691277,2.2202017931890285,12,1.636838696803924,0.7372477140705395,16,0.6153846153846154,13.138764769999398,19
40,42024,7,143,85,58,40282,1734,42016,0.9998096325909004,2.0274483023278176,16.11026498318121,27.385983295276123,16.665985386302527,25.358534992948307,0.5557204031213181,0.03334458720802999,14.082816680853393,4.296119992069549,20,4.239635327581935,0.9868521678649845,16,0.6153846153846154,13.449281330998929,18
40,42024,8,141,84,57,40274,1749,42023,0.9999762040738626,2.1025062734792384,4.683768567955313,30.388923835905487,4.718115575713366,28.286417562426248,0.03434700775805312,0.0072798148343070105,2.5812622944760744,6.587064511759932,18,6.086373830511505,0.92398879950932,19,0.7307692307692307,12.749227026997687,18
40,42024,9,132,82,50,40482,1518,42000,0.9994288977727013,1.7435175351526258,27.371461501995807,24.688124964316223,27.400017469057886,22.944607429163597,0.028555967062078358,0.0010421879144539182,25.62794396684318,17.959772420543885,17,17.56731525214139,0.9781479876686205,16,0.6153846153846154,13.654689592000068,22
60,63036,0,184,116,68,60988,2032,63020,0.9997461767878673,1.7823589599813054,3.532085063967094,19.68518309941577,47.30533935706607,17.902824139434465,43.77325429309897,0.9253343256390888,1.7497261039857888,12.163291494925575,25,9.836173622344935,0.8086769626830456,19,0.7307692307692307,28.14962501500122,38
60,63036,1,190,121,69,60902,2129,63031,0.9999206802462085,1.541861476279822,37.527152500366405,16.330617613066938,60.65222756870928,14.788756136787116,23.125075068342877,0.38127330182796443,35.985291024086585,2.7437240435906904,20,2.6070372019525534,0.9501820010079235,21,0.8076923076923077,22.660253499998362,26
60,63036,2,192,120,72,60884,2140,63024,0.9998096325909004,2.1205687236440838,2.1313848245788822,30.710127649211273,3.440134446177571,28.58955892556719,1.308749621598689,0.3804356027575832,0.010816100934798456,3.4343146716365203,21,3.4187000950560025,0.9954533646233771,19,0.7307692307692307,26.578418713997962,33
60,63036,3,191,128,63,61134,1883,63017,0.9996985849355924,2.1191949309575815,3.280715845772686,30.753931952449697,3.2658492396757564,28.634737021492118,-0.01486660609692956,-0.004552140961168668,1.1615209148151044,20.715621492244306,22,20.580460250601522,0.9934753952859494,21,0.8076923076923077,28.656629916000384,39
60,63036,4,190,114,76,60772,2262,63034,0.9999682720984834,2.217924669419563,3.097737524853022,30.47823169973589,4.362784287707286,28.260307030316326,1.2650467628542643,0.2899631701752247,0.879812855433459,6.558436156333788,26,4.627730595259328,0.7056149491964044,20,0.7692307692307693,27.77871243499976,39
60,63036,5,192,123,69,60978,2045,63023,0.9997937686401421,1.8087995455126737,46.30155645031599,19.931127979691837,46.32679270575489,18.122328434179163,0.025236255438899884,0.0005447442821951484,44.492756904803315,13.297442186582714,26,12.838380411465888,0.9654774377902522,20,0.7692307692307693,24.533621258000494,30
60,63036,6,184,119,65,61040,1993,63033,0.9999524081477251,2.203645338885229,27.070143912913824,24.286751829770182,28.99697015331553,22.08310649088495,1.9268262404017062,0.0664492265989863,24.866498574028597,2.1729358353221224,13,2.018698984306939,0.9290191415190505,20,0.7692307692307693,22.70802980600274,29
60,63036,7,188,122,66,61072,1964,63036,1.0,1.975824600377287,16.075221188147676,27.385983295276123,16.665985386302527,25.410158694898836,0.5907641981548537,0.03544730086229357,14.09939658777039,7.7624813893311835,26,4.482933990560365,0.5775130097859875,20,0.7692307692307693,34.10149041299883,50
60,63036,8,190,121,69,60952,2073,63025,0.9998254965416588,2.0642509336613837,4.710385885204335,30.388923835905487,4.718115575713366,28.324672902244103,0.007729690509030264,0.0016383003733140972,2.6461349515429515,9.944129581772609,24,6.543182184234103,0.6579944609961264,22,0.8461538461538461,27.26051245800045,35
60,63036,9,193,124,69,61002,2031,63033,0.9999524081477251,1.7159325560812926,5.163709313922975,24.688124964316223,27.400017469057886,22.97219240823493,22.23630815513491,0.8115435758479272,3.447776757841682,6.227702640596812,26,6.10734260085284,0.9806734446568828,19,0.7307692307692307,32.715568179999536,45
80,84048,0,240,156,84,81560,2478,84038,0.9998810203693128,1.75819369506119,3.96140636561811,19.68518309941577,47.30533935706607,17.92698940435458,43.34393299144795,0.9162587898224983,2.20321267055692,10.842314391018267,26,8.623731799959142,0.7953773972006392,23,0.8846153846153846,44.88530533800076,47
80,84048,1,254,166,88,81370,2656,84026,0.9997382448124881,1.5007451479592002,37.538669391944715,16.330617613066938,60.65222756870928,14.829872465107739,23.113558176764563,0.3810834177620368,36.037924243985515,2.714001563380968,21,2.5950096728165217,0.9561562925497316,25,0.9615384615384616,42.71070168300139,42
80,84048,2,249,163,86,81478,2560,84038,0.9998810203693128,2.0945665568524436,2.1073456210369192,30.710127649211273,3.440134446177571,28.61556109235883,1.3327888251406517,0.3874234702139477,0.012779064184475608,3.945196483042641,23,3.7122028167100827,0.9409424429596805,22,0.8461538461538461,38.979133852000814,37
80,84048,3,241,167,74,81820,2222,84042,0.9999286122215877,1.7021208398781476,3.275766741332573,30.753931952449697,3.2658492396757564,29.05181111257155,-0.009917501656816584,-0.003036729784195802,1.5736459014544255,20.820445710635653,23,20.684588197903707,0.9934748028634879,23,0.8846153846153846,54.423526127000514,64
80,84048,4,242,157,85,81534,2505,84039,0.9998929183323815,2.1927862847695487,3.059399774049966,30.47823169973589,4.362784287707286,28.28544541496634,1.3033845136573203,0.29875062063686625,0.8666134892804171,5.052565363168235,28,4.616786642840406,0.9137509979574868,25,0.9615384615384616,44.84157983100158,52
80,84048,5,247,169,78,81732,2316,84048,1.0,1.8018241345058734,46.07648105983797,19.931127979691837,46.32679270575489,18.129303845185962,0.2503116459169216,0.00540317236090093,44.274656925332096,13.892313508457244,29,13.524433570695845,0.9735191739275503,25,0.9615384615384616,33.18620246200226,31
80,84048,6,244,160,84,81498,2548,84046,0.9999762040738626,2.1836726397828787,27.06190089144206,24.286751829770182,28.99697015331553,22.1030791899873,1.9350692618734713,0.06673349841870338,24.87822825165918,2.235203137126302,17,1.8487357030855551,0.827099636886869,23,0.8846153846153846,34.18146453599911,35
80,84048,7,237,161,76,81774,2262,84036,0.9998572244431754,1.7755746445238212,16.68200582150477,27.385983295276123,16.665985386302527,25.610408650752305,-0.016020435202241314,-0.0009612654056092128,14.906431176980949,13.756509315188143,30,13.54103045821603,0.9843362257070396,24,0.9230769230769231,54.76363169499746,64
80,84048,8,258,165,93,81262,2777,84039,0.9998929183323815,2.0487288050435257,4.1380896409240275,30.388923835905487,4.718115575713366,28.340195030861963,0.5800259347893382,0.1229359318315639,2.089360835880502,10.332405644233992,26,7.108020767085392,0.6879347377396114,25,0.9615384615384616,41.26542208899991,41
80,84048,9,238,162,76,81778,2248,84026,0.9997382448124881,1.6742922828023512,5.263873973970039,24.688124964316223,27.400017469057886,23.013832681513872,22.136143495087843,0.8078879336513418,3.589581691167688,8.09658649255625,33,7.542790851679564,0.9316013431850783,22,0.8461538461538461,42.04317550500127,45
100,105061,0,286,194,92,102308,2736,105044,0.9998381892424401,1.7445960451900704,3.9307294559078896,19.68518309941577,47.30533935706607,17.940587054225702,43.37460990115817,0.9169072770784223,2.186133410717819,10.760327071491353,27,8.665858563077023,0.8053527095878469,26,1.0,0.0,55
100,105061,1,304,206,98,102074,2982,105056,0.9999524086007177,1.511169854283644,37.57346937007855,16.330617613066938,60.65222756870928,14.819447758783294,23.078758198630737,0.3805096551892705,36.062299515794905,3.61012628470065,27,3.5642024357412447,0.9872791571990083,26,1.0,0.0,34
100,105061,2,302,204,98,102116,2940,105056,0.9999524086007177,2.083926841649805,2.1160196696597615,30.710127649211273,3.440134446177571,28.626200807561467,1.3241147765178096,0.38490204299691555,0.03209282800995661,5.867859203807607,28,5.594534537115341,0.9534200366438738,26,1.0,0.0,48
100,105061,3,300,209,91,102304,2737,105041,0.9998096344028707,1.6880037092826454,3.2702137808351748,30.753931952449697,3.2658492396757564,29.06592824316705,-0.0043645411594184225,-0.0013364184440589019,1.5822100715525294,20.990035615016396,27,20.894213343682157,0.9954348685685085,26,1.0,0.0,81
100,105061,4,297,202,95,102240,2817,105057,0.9999619268805742,1.7866146519280948,3.1129715185210647,30.47823169973589,4.362784287707286,28.691617047807796,1.2498127691862218,0.2864713647905381,1.32635686659297,9.37824273326309,29,9.07225639534715,0.9673727427814748,26,1.0,0.0,75
100,105061,5,306,207,99,102130,2925,105055,0.9999428903208613,1.791405168020136,46.08063999157264,19.931127979691837,46.32679270575489,18.139722811671703,0.24615271418225407,0.005313398571442137,44.289234823552505,14.196605832668052,36,12.229872428400311,0.8614645340267139,26,1.0,0.0,40
100,105061,6,298,201,97,102120,2941,105061,1.0,1.7891615178664486,24.833781295439945,24.286751829770182,28.99697015331553,22.497590311903732,4.163188857875586,0.14357323664726276,23.044619777573494,74.25978112685124,23,73.8472550814226,0.9944448254604473,26,1.0,0.0,52
100,105061,7,287,196,91,102340,2709,105049,0.9998857806417224,1.550483497968137,6.0677659987236305,27.385983295276123,16.665985386302527,25.835499797307985,10.598219387578897,0.6359191576088493,4.517282500755494,4.248552921431627,26,3.7505092231816057,0.8827733330712056,26,1.0,0.0,71
100,105061,8,316,205,111,101732,3319,105051,0.9999048172014353,2.037901167546982,4.088765076628004,30.388923835905487,4.718115575713366,28.351022668358503,0.6293504990853623,0.13339022518332572,2.050863909081022,10.030122170436345,28,6.518929277175071,0.6499351818853744,26,1.0,0.0,61
100,105061,9,289,203,86,102524,2532,105056,0.9999524086007177,1.6558009706826615,4.9997975498916665,24.688124964316223,27.400017469057886,23.03232399363356,22.40021991916622,0.817525753202975,3.343996579209005,6.97342970535378,28,6.35102711154922,0.9107465594258852,26,1.0,0.0,75
