split_a,split_b,design_jaccard,identical_mcv_fraction,identical_fd_fraction,identical_control_fraction,identical_rows_1e12_fraction,mean_row_relative_difference,max_row_relative_difference,mean_absolute_qerror_difference,loss_a,loss_b
1,4,0.33853006681514475,0.33547008547008544,0.7350427350427351,0.28846153846153844,0.2905982905982906,0.09942211978884335,0.9986778714174762,7.505566392261346,4097.083646289466,960.8132025620874
1,5,0.3832199546485261,0.3504273504273504,0.7756410256410257,0.30982905982905984,0.32051282051282054,0.08909208233094931,0.9989089692229849,16.08118871277954,4097.083646289466,5001.565692047358
1,6,0.32599118942731276,0.30128205128205127,0.7457264957264957,0.25427350427350426,0.25854700854700857,0.08621631779001115,0.9461779402239815,2.8810913303536134,4097.083646289466,3003.5218494534065
1,7,0.3617511520737327,0.36324786324786323,0.7777777777777778,0.3269230769230769,0.33547008547008544,0.08750754716938766,0.9986778714174762,7.86337294646235,4097.083646289466,1150.2508321201044
1,8,0.37168141592920356,0.3952991452991453,0.7414529914529915,0.3482905982905983,0.3504273504273504,0.08778370592445346,0.9986778714174762,7.204789543994813,4097.083646289466,1146.5189538656036
1,9,0.3538812785388128,0.3717948717948718,0.7713675213675214,0.32051282051282054,0.32264957264957267,0.09618505362697477,0.9986778714174762,7.051358990758658,4097.083646289466,1089.2505327251322
2,3,0.3744292237442922,0.3611111111111111,0.7692307692307693,0.32051282051282054,0.3247863247863248,0.07499348881791316,0.9925555080706999,0.7698501632023291,978.2944877250446,938.7134826702159
2,4,0.33705357142857145,0.3162393162393162,0.7393162393162394,0.26495726495726496,0.2692307692307692,0.09762202997679816,0.9912869532029869,0.8409031643778502,978.2944877250446,960.8132025620874
2,5,0.4510739856801909,0.43162393162393164,0.8076923076923077,0.3782051282051282,0.3888888888888889,0.07434846864490102,0.998976007667932,9.394177586679055,978.2944877250446,5001.565692047358
2,6,0.3392857142857143,0.33974358974358976,0.7564102564102564,0.2905982905982906,0.30128205128205127,0.0846685017315223,0.99872163388541,5.148015014050054,978.2944877250446,3003.5218494534065
2,7,0.40572792362768495,0.4166666666666667,0.7927350427350427,0.3717948717948718,0.37606837606837606,0.07372848494265843,0.9804059741804786,1.1662373666155086,978.2944877250446,1150.2508321201044
2,8,0.36423841059602646,0.3504273504273504,0.75,0.3034188034188034,0.30982905982905984,0.07885562157000078,0.9824983584015202,0.523331032046284,978.2944877250446,1146.5189538656036
2,9,0.3680555555555556,0.37393162393162394,0.7991452991452992,0.33547008547008544,0.344017094017094,0.08892042396952,0.9310482372358857,0.4790458134518708,978.2944877250446,1089.2505327251322
3,4,0.4180522565320665,0.405982905982906,0.7692307692307693,0.3482905982905983,0.3547008547008547,0.07363117445998468,0.9311138840594251,0.25442371553843396,938.7134826702159,960.8132025620874
3,5,0.39631336405529954,0.358974358974359,0.7863247863247863,0.31196581196581197,0.31837606837606836,0.08676674531798495,0.9989134975579042,9.375867346718817,938.7134826702159,5001.565692047358
3,6,0.3810623556581986,0.3782051282051282,0.7542735042735043,0.3247863247863248,0.3333333333333333,0.07853560911639039,0.99872163388541,5.06882448666604,938.7134826702159,3003.5218494534065
3,7,0.44938271604938274,0.42094017094017094,0.7884615384615384,0.36752136752136755,0.37606837606837606,0.0642529055059281,0.9922130513657648,1.1026528204888528,938.7134826702159,1150.2508321201044
3,8,0.378076062639821,0.3696581196581197,0.7521367521367521,0.32905982905982906,0.3333333333333333,0.0803653002777811,0.9925135681192471,1.1042518114356579,938.7134826702159,1146.5189538656036
3,9,0.4090909090909091,0.3952991452991453,0.7799145299145299,0.3525641025641026,0.3547008547008547,0.0730467383534257,0.9925135681192471,1.0081970599776262,938.7134826702159,1089.2505327251322
4,5,0.3673469387755102,0.3696581196581197,0.7692307692307693,0.33760683760683763,0.34615384615384615,0.09044844915071622,0.9989134975579042,9.387449167613408,960.8132025620874,5001.565692047358
4,6,0.3967136150234742,0.3803418803418803,0.7435897435897436,0.32051282051282054,0.32905982905982906,0.08620331448444711,0.99872163388541,5.09860975614033,960.8132025620874,3003.5218494534065
4,7,0.37411764705882355,0.37606837606837606,0.7478632478632479,0.3333333333333333,0.344017094017094,0.09191067227054359,0.9908861412571363,1.1881487863693527,960.8132025620874,1150.2508321201044
4,8,0.35320088300220753,0.33974358974358976,0.7008547008547008,0.2863247863247863,0.2905982905982906,0.08340499944356788,0.9912378666080729,1.1119333653902364,960.8132025620874,1146.5189538656036
4,9,0.3471264367816092,0.36324786324786323,0.7222222222222222,0.297008547008547,0.30128205128205127,0.0804934672042081,0.9912378666080729,0.9607079556934588,960.8132025620874,1089.2505327251322
5,6,0.36343115124153497,0.3803418803418803,0.7329059829059829,0.31196581196581197,0.32264957264957267,0.08113100663775878,0.9989134975579042,13.703279103621451,5001.565692047358,3003.5218494534065
5,7,0.3822843822843823,0.36752136752136755,0.7884615384615384,0.3333333333333333,0.3418803418803419,0.0885317965972965,0.9989089692229849,9.794602169118292,5001.565692047358,1150.2508321201044
5,8,0.38222222222222224,0.405982905982906,0.7200854700854701,0.3525641025641026,0.3547008547008547,0.07644821512141618,0.9989134975579042,9.689221456866992,5001.565692047358,1146.5189538656036
5,9,0.3901869158878505,0.4358974358974359,0.7649572649572649,0.3782051282051282,0.3803418803418803,0.08252441433215746,0.9989089692229849,9.638108847236479,5001.565692047358,1089.2505327251322
6,7,0.4268292682926829,0.41452991452991456,0.7542735042735043,0.35683760683760685,0.36752136752136755,0.07274826281086735,0.99872163388541,5.484020183306644,3003.5218494534065,1150.2508321201044
6,8,0.3584070796460177,0.3311965811965812,0.75,0.30982905982905984,0.3162393162393162,0.09006605798439432,0.99872163388541,5.487600312831656,3003.5218494534065,1146.5189538656036
6,9,0.3401826484018265,0.3504273504273504,0.7393162393162394,0.29914529914529914,0.3034188034188034,0.09270958551541092,0.99872163388541,5.432257290779799,3003.5218494534065,1089.2505327251322
7,8,0.3611738148984199,0.38675213675213677,0.7628205128205128,0.3482905982905983,0.3525641025641026,0.08412530630367301,0.9824409224792768,1.5242342109464633,1150.2508321201044,1146.5189538656036
7,9,0.381294964028777,0.43162393162393164,0.7670940170940171,0.3803418803418803,0.38675213675213677,0.08030476989768925,0.9804059741804786,1.4668415913693844,1150.2508321201044,1089.2505327251322
8,9,0.3972286374133949,0.4444444444444444,0.7628205128205128,0.391025641025641,0.39316239316239315,0.0748597243924703,0.9824409224792768,0.7689715611402032,1146.5189538656036,1089.2505327251322
