candidate,mechanism,cost,selection_frequency,selected_splits,train_structural,test_structural,train_consumers,test_consumers,train_positive,train_negative,test_positive,test_negative,train_benefit,test_benefit
mcv:413,mcv,384,0.7,7,35,7,16,4,12,2,1,0,2.253102707731703,0.335773790464708
fd:53,fd,27,0.6,6,23,1,9,0,9,0,0,0,0.0011762771617607193,0.0
mcv:1563,mcv,458,0.2,2,4,2,3,1,2,1,0,1,0.2194661376986593,-0.4492491477013292
mcv:1389,mcv,318,0.5,5,15,5,11,1,11,0,1,0,1.069199325743657,0.08479238598489247
mcv:187,mcv,148,0.2,2,12,4,12,4,9,3,1,3,0.44221881094690163,3.4045646468753032
fd:599,fd,27,0.7,7,14,0,12,0,12,0,0,0,0.36576668769024034,0.0
mcv:251,mcv,296,0.3,3,16,5,12,3,12,0,3,0,0.14272733895301704,0.02082824082281176
fd:126,fd,27,0.4,4,15,1,6,0,6,0,0,0,0.01673224926439998,0.0
mcv:1581,mcv,170,0.3,3,7,2,7,1,5,2,1,0,0.07222755151426363,4.088449756523005e-08
mcv:1773,mcv,462,0.2,2,6,0,2,0,2,0,0,0,0.7301603644016437,0.0
mcv:1663,mcv,304,0.9,9,22,5,17,2,17,0,1,1,12.876286490090369,-0.17355916118942027
fd:574,fd,27,0.1,1,2,0,1,0,1,0,0,0,0.002896651324868049,0.0
mcv:644,mcv,986,0.7,7,26,9,15,3,8,7,0,3,2.617988697384259,-0.14854163639790485
mcv:1135,mcv,504,0.6,6,21,3,16,3,12,4,1,2,1.2079380691465789,-0.002265017062575092
fd:110,fd,27,0.3,3,6,0,3,0,3,0,0,0,0.029012623720871433,0.0
fd:55,fd,27,0.1,1,1,0,1,0,1,0,0,0,0.025926224829531552,0.0
mcv:1400,mcv,174,0.1,1,4,0,1,0,1,0,0,0,0.07181823817539112,0.0
mcv:1519,mcv,388,0.5,5,13,2,6,1,6,0,1,0,0.40223833132838505,1.0855763771143216
fd:201,fd,41,0.1,1,3,0,1,0,1,0,0,0,0.40773636222874976,0.0
mcv:1885,mcv,1260,0.5,5,10,0,5,0,5,0,0,0,7.893909705565248,0.0
mcv:1055,mcv,362,0.1,1,2,2,1,2,1,0,1,1,0.1244031722654384,-0.011510678129318386
mcv:1894,mcv,196,0.1,1,2,0,1,0,1,0,0,0,0.02173180749406023,0.0
mcv:2040,mcv,606,0.2,2,2,2,2,2,2,0,0,2,0.1592461217006993,-0.05526587280425588
mcv:182,mcv,244,0.4,4,25,7,19,4,11,8,2,2,2.8432140034187503,-0.10431150508837339
mcv:1512,mcv,256,0.6,6,16,2,8,1,6,2,0,1,1.8046010789636315,-0.24092718886195774
mcv:310,mcv,694,0.2,2,13,1,10,1,9,1,1,0,0.7991953448570088,0.16937902504410696
mcv:145,mcv,218,0.5,5,30,10,28,9,21,7,8,1,2.5674670145869514,0.5070486487156276
mcv:984,mcv,300,0.9,9,40,5,22,0,22,0,0,0,258.43149838957146,0.0
fd:313,fd,27,0.6,6,20,10,10,5,9,1,2,3,0.0013413026834510067,-0.0018061171868339887
mcv:447,mcv,388,0.7,7,33,9,21,6,17,4,2,4,1.3090115709304102,-0.2950036806751133
mcv:566,mcv,244,0.1,1,6,0,3,0,2,1,0,0,0.1841572724089846,0.0
mcv:1713,mcv,252,0.8,8,15,9,12,7,12,0,7,0,3.466258152904906,1.9986461461351988
fd:441,fd,27,0.4,4,11,1,5,0,5,0,0,0,0.08063008275611261,0.0
mcv:1057,mcv,410,0.6,6,19,5,12,2,7,5,0,2,0.9371349581616424,-0.12552616821252216
mcv:1350,mcv,694,0.1,1,3,1,1,0,1,0,0,0,0.4086522010130078,0.0
fd:276,fd,41,0.6,6,15,3,6,0,6,0,0,0,0.08932037150521399,0.0
mcv:410,mcv,278,0.4,4,20,4,19,2,15,4,1,1,1.109935118671915,0.03139816350218538
mcv:474,mcv,1926,0.3,3,16,2,8,1,6,2,0,1,1.5432848734969065,-0.8892077132076559
mcv:1377,mcv,572,0.9,9,27,9,21,6,21,0,6,0,5.023003804373843,0.46205360476690793
mcv:1441,mcv,696,0.6,6,22,2,7,0,7,0,0,0,4.067042246803523,0.0
