configuration,family,run_order,mcv_count,fd_count,total_count,subset_seed,phase,repetition,seconds,mcv_ids,fd_ids
mixed_36_35,mixed,8,36,35,71,7,measured,2,0.510309025999959,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
mixed_36_35,mixed,8,36,35,71,7,measured,3,0.4801843099994585,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
mixed_36_35,mixed,8,36,35,71,7,measured,4,0.4833556440007669,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
mixed_36_35,mixed,8,36,35,71,7,measured,5,0.48546503400029906,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
mixed_36_35,mixed,8,36,35,71,7,measured,6,0.5017943950006156,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
mcv_12_s0,mcv_only,9,12,0,12,0,warmup,0,0.180461115000071,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,0,0.17960536600003252,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,1,0.18641380400003982,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,2,0.18049380499905965,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,3,0.17922765000002983,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,4,0.1811133310002333,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,5,0.17453895499966166,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,6,0.17220212099891796,0;8;9;10;11;13;17;19;20;21;25;31,
fd_12_s0,fd_only,10,0,12,12,0,warmup,0,0.19970597800056566,,0;6;9;10;12;16;18;19;23;26;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,0,0.1965198279995093,,0;6;9;10;12;16;18;19;23;26;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,1,0.19845565799914766,,0;6;9;10;12;16;18;19;23;26;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,2,0.21334190500056138,,0;6;9;10;12;16;18;19;23;26;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,3,0.20704544200089003,,0;6;9;10;12;16;18;19;23;26;30;33
